03:44:56.572077 22:85:56:cf:b3:af > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.1 tell 192.168.1.15, length 28
03:44:57.371011 d4:1b:81:ac:5b:29 > 8a:75:31:15:cb:3e, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.10 tell 192.168.1.28, length 28
03:44:57.384817 8a:75:31:15:cb:3e > d4:1b:81:ac:5b:29, ethertype ARP (0x0806), length 42: Reply 192.168.1.10 is-at 8a:75:31:15:cb:3e, length 28
03:45:21.559193 20:0c:86:b9:be:60 > d4:1b:81:ac:5b:29, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.28 tell 192.168.1.1, length 28
03:45:21.559205 d4:1b:81:ac:5b:29 > 20:0c:86:b9:be:60, ethertype ARP (0x0806), length 42: Reply 192.168.1.28 is-at d4:1b:81:ac:5b:29, length 28
03:45:32.841806 8a:75:31:15:cb:3e > d4:1b:81:ac:5b:29, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.28 tell 192.168.1.10, length 28
03:45:32.841818 d4:1b:81:ac:5b:29 > 8a:75:31:15:cb:3e, ethertype ARP (0x0806), length 42: Reply 192.168.1.28 is-at d4:1b:81:ac:5b:29, length 28
03:45:50.300563 20:0c:86:b9:be:60 > d4:1b:81:ac:5b:29, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.28 tell 192.168.1.1, length 28
03:45:50.300575 d4:1b:81:ac:5b:29 > 20:0c:86:b9:be:60, ethertype ARP (0x0806), length 42: Reply 192.168.1.28 is-at d4:1b:81:ac:5b:29, length 28
03:45:57.604310 22:85:56:cf:b3:af > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.1 tell 192.168.1.15, length 28
03:46:00.881927 8a:75:31:15:cb:3e > d4:1b:81:ac:5b:29, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.28 tell 192.168.1.10, length 28
03:46:00.881939 d4:1b:81:ac:5b:29 > 8a:75:31:15:cb:3e, ethertype ARP (0x0806), length 42: Reply 192.168.1.28 is-at d4:1b:81:ac:5b:29, length 28
